349,34,29,4.1788
350,34,30,3.3431
351,34,31,2.5073
352,34,32,1.6715
353,34,33,0.83577
354,35,22,4.2311
355,35,23,4.3443
356,35,24,4.6552
357,35,28,2.1156
358,35,29,2.2801
359,35,30,2.7054
360,35,31,3.2919
361,35,32,3.9688
362,35,33,4.6971
363,36,22,4.298
364,36,23,4.2346
365,36,24,4.3839
366,36,25,4.7258
367,36,28,2.2524
368,36,29,2.1155
369,36,30,2.2966
370,36,31,2.7332
371,36,32,3.3262
372,36,33,4.0067
373,36,34,4.7371
374,36,35,0.79049
375,37,22,4.5048
376,37,23,4.271
377,37,24,4.2446
378,37,25,4.4294
379,37,26,4.801
380,37,28,2.6307
381,37,29,2.2364
382,37,30,2.1164
383,37,31,2.3138
384,37,32,2.7614
385,37,33,3.3607
386,37,34,4.0447
387,37,35,1.581
388,37,36,0.79049
389,38,22,4.8335
390,38,23,4.4497
391,38,24,4.2502
392,38,25,4.261
393,38,26,4.4805
394,38,27,4.8807
395,38,28,3.1651
396,38,29,2.6033
397,38,30,2.2212
398,38,31,2.1182
399,38,32,2.3318
400,38,33,2.7901
401,38,34,3.3954
402,38,35,2.3715
403,38,36,1.581
404,38,37,0.79049
405,39,23,4.7548
406,39,24,4.4001
407,39,25,4.2358
408,39,26,4.2836
409,39,27,4.5371
410,39,28,3.7901
411,39,29,3.1309
412,39,30,2.5764
413,39,31,2.2068
414,39,32,2.121
415,39,33,2.3505
416,39,34,2.8192
417,39,35,3.162
418,39,36,2.3715
419,39,37,1.581
420,39,38,0.79049
421,40,24,4.6806
422,40,25,4.3563
423,40,26,4.2278
424,40,27,4.3126
425,40,28,4.4678
426,40,29,3.7521
427,40,30,3.0971
428,40,31,2.55
429,40,32,2.1932
430,40,33,2.1248
431,40,34,2.3699
432,40,35,3.9525
433,40,36,3.162
434,40,37,2.3715
435,40,38,1.581
436,40,39,0.79049
437,41,25,4.6112
438,41,26,4.3184
439,41,27,4.2262
440,41,29,4.4276
441,41,30,3.7142
442,41,31,3.0635
443,41,32,2.5241
444,41,33,2.1805
445,41,34,2.1296
446,41,35,4.743
447,41,36,3.9525
448,41,37,3.162
449,41,38,2.3715
450,41,39,1.581
451,41,40,0.79049
452,42,25,4.9798
453,42,26,4.5467
454,42,27,4.2865
455,42,30,4.3874
456,42,31,3.6766
457,42,32,3.0302
458,42,33,2.4988
459,42,34,2.1687
460,42,36,4.743
461,42,37,3.9525
462,42,38,3.162
463,42,39,2.3715
464,42,40,1.581
465,42,41,0.79049
466,2,43,4.9881
467,3,43,4.4721
468,4,43,4.0694
469,5,43,3.8162
470,6,43,3.7428
471,7,43,3.8597
472,8,43,4.1384
473,9,43,4.4714
474,10,43,3.697
475,11,43,2.961
476,12,43,2.3005
477,13,43,1.8004
478,14,43,1.6174
479,15,43,1.8481
480,16,43,4.2159
481,17,43,3.2928
482,18,43,2.3763
483,19,43,1.4786
484,20,43,0.67886
485,21,43,0.68622
486,22,43,4.9482
487,23,43,4.1674
488,24,43,3.4751
489,25,43,2.9349
490,26,43,2.6416
491,27,43,2.6776
492,32,43,4.8098
493,33,43,4.7301
494,34,43,4.7969
